taxon_id,taxon_name,genome_coverage,read_depth
146,>MEG_1335|Drugs|betalactams|Class_A_betalactamases|BLAZ;>MEG_1343|Drugs|betalactams|Class_A_betalactamases|BLAZ;>MEG_1344|Drugs|betalactams|Class_A_betalactamases|BLAZ;>MEG_1357|Drugs|betalactams|Class_A_betalactamases|BLAZ;>MEG_1373|Drugs|betalactams|Class_A_betalactamases|BLAZ;>MEG_1413|Drugs|betalactams|Class_A_betalactamases|BLAZ;>MEG_1445|Drugs|betalactams|Class_A_betalactamases|BLAZ;>MEG_1446|Drugs|betalactams|Class_A_betalactamases|BLAZ;>MEG_1447|Drugs|betalactams|Class_A_betalactamases|BLAZ;>MEG_1448|Drugs|betalactams|Class_A_betalactamases|BLAZ;>MEG_1449|Drugs|betalactams|Class_A_betalactamases|BLAZ;>MEG_1450|Drugs|betalactams|Class_A_betalactamases|BLAZ,1|114,1
149,>MEG_1358|Drugs|betalactams|Class_A_betalactamases|BLAZ;>MEG_1363|Drugs|betalactams|Class_A_betalactamases|BLAZ;>MEG_1365|Drugs|betalactams|Class_A_betalactamases|BLAZ;>MEG_1367|Drugs|betalactams|Class_A_betalactamases|BLAZ;>MEG_1368|Drugs|betalactams|Class_A_betalactamases|BLAZ;>MEG_1369|Drugs|betalactams|Class_A_betalactamases|BLAZ;>MEG_1370|Drugs|betalactams|Class_A_betalactamases|BLAZ;>MEG_1371|Drugs|betalactams|Class_A_betalactamases|BLAZ,2|53,3
164,>MEG_1517|Drugs|betalactams|Class_A_betalactamases|CARB;>MEG_1518|Drugs|betalactams|Class_A_betalactamases|CARB;>MEG_1519|Drugs|betalactams|Class_A_betalactamases|CARB;>MEG_1523|Drugs|betalactams|Class_A_betalactamases|CARB;>MEG_1532|Drugs|betalactams|Class_A_betalactamases|CARB;>MEG_1538|Drugs|betalactams|Class_A_betalactamases|CARB;>MEG_1540|Drugs|betalactams|Class_A_betalactamases|CARB;>MEG_1542|Drugs|betalactams|Class_A_betalactamases|CARB;>MEG_1546|Drugs|betalactams|Class_A_betalactamases|CARB;>MEG_1547|Drugs|betalactams|Class_A_betalactamases|CARB;>MEG_5810|Drugs|betalactams|Class_A_betalactamases|PSE;>MEG_5811|Drugs|betalactams|Class_A_betalactamases|PSE;>MEG_8009|Drugs|betalactams|Class_A_betalactamases|CARB;>MEG_8012|Drugs|betalactams|Class_A_betalactamases|CARB,1|190,1
186,>MEG_1674|Drugs|betalactams|Class_B_betalactamases|CFIA;>MEG_1681|Drugs|Multi-drug_resistance|MDR_23S_ribosomal_RNA_methyltransferase|CFRA;>MEG_1682|Drugs|Multi-drug_resistance|MDR_23S_ribosomal_RNA_methyltransferase|CFRA,1|385,1
192,>MEG_1747|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_regulator|CMER;>MEG_1748|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_regulator|CMER,1|259,1
196,>MEG_1777|Drugs|Phenicol|Chloramphenicol_phosphotransferase|CMLV;>MEG_1778|Drugs|Phenicol|Chloramphenicol_phosphotransferase|CMLV,2|460,2
221,>MEG_2002|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CNRA;>MEG_2003|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CNRA,2|1167,2
224,>MEG_2012|Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|CNRR;>MEG_2013|Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|CNRR,1|162,1
225,>MEG_2019|Metals|Copper_resistance|Copper_resistance_protein|COPA;>MEG_2020|Metals|Copper_resistance|Copper_resistance_protein|COPA;>MEG_2024|Metals|Copper_resistance|Copper_resistance_protein|COPA,1|937,1
226,>MEG_2025|Metals|Copper_resistance|Copper_resistance_protein|COPA;>MEG_2030|Metals|Copper_resistance|Copper_resistance_protein|COPA,2|814,1
255,>MEG_2448|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSC;>MEG_2450|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSC,1|317,1
257,>MEG_2461|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CZCA;>MEG_2462|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CZCA,1|1130,1
258,>MEG_2463|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CZCB;>MEG_2464|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CZCB,1|580,1
261,>MEG_2474|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_regulator|CZCS;>MEG_2475|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_regulator|CZCS,2|505,1
269,>MEG_2513|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA;>MEG_2515|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA;>MEG_2622|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,1|179,1
291,>MEG_2691|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBC;>MEG_2692|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBC,1|267,1
303,>MEG_2779|Drugs|MLS|23S_rRNA_methyltransferases|ERM42;>MEG_2780|Drugs|MLS|23S_rRNA_methyltransferases|ERM42;>MEG_2781|Drugs|MLS|23S_rRNA_methyltransferases|ERM42,3|363,2
305,>MEG_2788|Drugs|MLS|23S_rRNA_methyltransferases|ERMB;>MEG_2789|Drugs|MLS|23S_rRNA_methyltransferases|ERMB;>MEG_2794|Drugs|MLS|23S_rRNA_methyltransferases|ERMB;>MEG_2795|Drugs|MLS|23S_rRNA_methyltransferases|ERMB;>MEG_2796|Drugs|MLS|23S_rRNA_methyltransferases|ERMB;>MEG_2797|Drugs|MLS|23S_rRNA_methyltransferases|ERMB;>MEG_2801|Drugs|MLS|23S_rRNA_methyltransferases|ERMB;>MEG_2804|Drugs|MLS|23S_rRNA_methyltransferases|ERMB;>MEG_2805|Drugs|MLS|23S_rRNA_methyltransferases|ERMB;>MEG_2807|Drugs|MLS|23S_rRNA_methyltransferases|ERMB,2|112,1
313,>MEG_2841|Drugs|MLS|23S_rRNA_methyltransferases|ERMQ;>MEG_2842|Drugs|MLS|23S_rRNA_methyltransferases|ERMQ,1|298,1
314,>MEG_2844|Drugs|MLS|23S_rRNA_methyltransferases|ERMR;>MEG_2846|Drugs|MLS|23S_rRNA_methyltransferases|ERMT;>MEG_2848|Drugs|MLS|23S_rRNA_methyltransferases|ERMT,2|135,2
315,>MEG_2851|Drugs|MLS|23S_rRNA_methyltransferases|ERMV;>MEG_2852|Drugs|MLS|23S_rRNA_methyltransferases|ERMV;>MEG_2853|Drugs|MLS|23S_rRNA_methyltransferases|ERMV,1|429,1
317,>MEG_2859|Drugs|MLS|23S_rRNA_methyltransferases|ERMX;>MEG_2866|Drugs|Mycobacterium_tuberculosis-specific_Drug|Ethionamide-resistant_mutant|ETHA|RequiresSNPConfirmation;>MEG_8084|Drugs|Mycobacterium_tuberculosis-specific_Drug|Ethionamide-resistant_mutant|ETHA|RequiresSNPConfirmation,1|605,1
330,>MEG_2983|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA;>MEG_2984|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA;>MEG_2996|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA;>MEG_3003|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,1|282,1
332,>MEG_3008|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSB;>MEG_3010|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSB,1|163,1
340,>MEG_3052|Drugs|betalactams|Class_A_betalactamases|FRI;>MEG_3056|Drugs|betalactams|Class_A_betalactamases|FRI;>MEG_3057|Drugs|betalactams|Class_A_betalactamases|FRI;>MEG_8098|Drugs|betalactams|Class_A_betalactamases|FRI,1|318,1
342,>MEG_3065|Drugs|Fusidic_acid|Fusidic_acid-resistant_mutation|FUSA|RequiresSNPConfirmation;>MEG_3066|Drugs|Fusidic_acid|Ribosomal_zinc-binding_protein|FUSB;>MEG_3067|Drugs|Fusidic_acid|Ribosomal_zinc-binding_protein|FUSB;>MEG_8100|Drugs|Fusidic_acid|Fusidic_acid-resistant_mutation|FUSA|RequiresSNPConfirmation,20|1011,2
357,>MEG_3189|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation;>MEG_3191|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation;>MEG_3223|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation;>MEG_3229|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation;>MEG_3230|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation;>MEG_3233|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation;>MEG_3236|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,4|651,2
358,>MEG_3198|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation;>MEG_3207|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation;>MEG_3222|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation;>MEG_3225|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,8|1054,1
374,>MEG_3323|Drugs|betalactams|Class_B_betalactamases|IMP;>MEG_3324|Drugs|betalactams|Class_B_betalactamases|IMP;>MEG_3374|Drugs|betalactams|Class_B_betalactamases|IMP,1|206,1
387,>MEG_3420|Drugs|betalactams|Class_B_betalactamases|IND;>MEG_3426|Drugs|betalactams|Class_B_betalactamases|IND;>MEG_3427|Drugs|betalactams|Class_B_betalactamases|IND,1|165,1
426,>MEG_3761|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDTM;>MEG_3762|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDTM,1|458,1
429,>MEG_3778|Drugs|betalactams|Penicillin_binding_protein|MECA;>MEG_3786|Drugs|betalactams|Penicillin_binding_protein|MECA,1|640,1
451,>MEG_3977|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation;>MEG_3980|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation;>MEG_3982|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation;>MEG_8249|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,5|1405,1
452,>MEG_4004|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|MODB;>MEG_4005|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|MODB;>MEG_4006|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|MODB,10|257,1
453,>MEG_4008|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|MODC;>MEG_4009|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|MODC;>MEG_4010|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|MODC,3|432,1
464,>MEG_4089|Drugs|Mupirocin|Mupirocin-resistant_isoleucyl-tRNA_synthetase|MUPA;>MEG_4090|Drugs|Mupirocin|Mupirocin-resistant_isoleucyl-tRNA_synthetase|MUPA,2|1184,2
465,>MEG_4130|Drugs|Mycobacterium_tuberculosis-specific_Drug|Isoniazid-resistant_mutant|NDH|RequiresSNPConfirmation;>MEG_4131|Drugs|Mycobacterium_tuberculosis-specific_Drug|Isoniazid-resistant_mutant|NDH|RequiresSNPConfirmation,1|512,1
473,>MEG_4206|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|NORA;>MEG_4207|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|NORA,1|335,1
484,>MEG_4297|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|OPRJ;>MEG_4298|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|OPRJ,1|531,1
486,>MEG_4301|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OPRN;>MEG_4302|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OPRN,2|538,1
495,>MEG_4356|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB;>MEG_4357|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB;>MEG_4358|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB;>MEG_4361|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,1|113,1
502,>MEG_4417|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_4418|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_4419|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_4420|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_4421|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_4422|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_4423|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_4673|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_4675|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_4676|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_4745|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_4763|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_4765|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_4770|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_4787|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_4911|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_4934|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_4971|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_5004|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_5064|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_5085|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_5154|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_5156|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_5178|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_5268|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_8308|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_8392|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_8398|Drugs|betalactams|Class_D_betalactamases|OXA,1|148,1
510,>MEG_4446|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_4447|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_4449|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_4481|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_4680|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_4696|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_4709|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_4858|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_4891|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_4927|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_5076|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_5081|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_5088|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_8328|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_8353|Drugs|betalactams|Class_D_betalactamases|OXA,2|59,1
541,>MEG_4590|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_4602|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_4603|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_4804|Drugs|betalactams|Class_D_betalactamases|OXA,1|127,1
546,>MEG_4627|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_4628|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_4727|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_4728|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_4729|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_4730|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_4773|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_4774|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_4776|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_4889|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_4919|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_4926|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_4973|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_5090|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_5160|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_5171|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_5207|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_5208|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_5214|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_5224|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_5277|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_8293|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_8296|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_8294|Drugs|betalactams|Class_D_betalactamases|OXA,1|412,1
548,>MEG_4631|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_4632|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_4633|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_4634|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_4635|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_4639|Drugs|betalactams|Class_D_betalactamases|OXA,1|61,1
550,>MEG_4655|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_4662|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_4663|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_5273|Drugs|betalactams|Class_D_betalactamases|OXA,4|336,1
551,>MEG_4664|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_4665|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_4666|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_5126|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_5127|Drugs|betalactams|Class_D_betalactamases|OXA,1|118,1
554,>MEG_4686|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_4687|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_5075|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_5084|Drugs|betalactams|Class_D_betalactamases|OXA,1|23,1
571,>MEG_4903|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_4904|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_5135|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_5137|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_5144|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_5215|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_5216|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_5221|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_5222|Drugs|betalactams|Class_D_betalactamases|OXA,2|92,2
581,>MEG_5014|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_5015|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_5054|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_5055|Drugs|betalactams|Class_D_betalactamases|OXA;>MEG_8394|Drugs|betalactams|Class_D_betalactamases|OXA,1|89,1
608,>MEG_5333|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation;>MEG_5334|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation;>MEG_5363|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation;>MEG_8445|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,1|735,1
618,>MEG_5448|Drugs|betalactams|Class_C_betalactamases|PDC;>MEG_5449|Drugs|betalactams|Class_C_betalactamases|PDC;>MEG_5506|Drugs|betalactams|Class_C_betalactamases|PDC;>MEG_5511|Drugs|betalactams|Class_C_betalactamases|PDC;>MEG_5523|Drugs|betalactams|Class_C_betalactamases|PDC;>MEG_5524|Drugs|betalactams|Class_C_betalactamases|PDC;>MEG_5525|Drugs|betalactams|Class_C_betalactamases|PDC;>MEG_5529|Drugs|betalactams|Class_C_betalactamases|PDC;>MEG_5627|Drugs|betalactams|Class_C_betalactamases|PDC;>MEG_5659|Drugs|betalactams|Class_C_betalactamases|PDC;>MEG_5727|Drugs|betalactams|Class_C_betalactamases|PDC;>MEG_8484|Drugs|betalactams|Class_C_betalactamases|PDC;>MEG_8463|Drugs|betalactams|Class_C_betalactamases|PDC;>MEG_8470|Drugs|betalactams|Class_C_betalactamases|PDC;>MEG_8547|Drugs|betalactams|Class_C_betalactamases|PDC;>MEG_8569|Drugs|betalactams|Class_C_betalactamases|PDC,1|45,1
647,>MEG_5820|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|QACAB;>MEG_5821|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|QACAB;>MEG_5822|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|QACAB;>MEG_5823|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|QACAB;>MEG_5824|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|QACAB;>MEG_8642|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|QACAB;>MEG_8644|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|QACAB;>MEG_8643|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|QACAB,1|675,1
648,>MEG_5826|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|QACC;>MEG_5827|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|QACE;>MEG_5828|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|QACE;>MEG_8645|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|QACC,7|826,4
661,>MEG_5886|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB;>MEG_5887|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB;>MEG_5943|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB;>MEG_5957|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,1|120,1
691,>MEG_6090|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation;>MEG_6093|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation;>MEG_6134|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation;>MEG_8674|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB,2|2296,1
692,>MEG_6097|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation;>MEG_6098|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation;>MEG_6110|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation;>MEG_6111|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation;>MEG_6112|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation;>MEG_6117|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation;>MEG_6124|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation;>MEG_6128|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation;>MEG_6133|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation;>MEG_6136|Drugs|Multi-drug_resistance|MDR_mutation|MRPOB|RequiresSNPConfirmation,2|1856,2
693,>MEG_6100|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation;>MEG_6105|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation;>MEG_6121|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation;>MEG_6126|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation;>MEG_6131|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,1|1883,1
698,>MEG_6166|Drugs|Nucleosides|Streptothricin_acetyltransferase|SAT;>MEG_6169|Drugs|Nucleosides|Streptothricin_acetyltransferase|SAT,4|107,1
713,>MEG_6273|Drugs|betalactams|Class_A_betalactamases|SHV;>MEG_6275|Drugs|betalactams|Class_A_betalactamases|SHV;>MEG_6356|Drugs|betalactams|Class_A_betalactamases|SHV;>MEG_6390|Drugs|betalactams|Class_A_betalactamases|SHV;>MEG_6443|Drugs|betalactams|Class_A_betalactamases|SHV;>MEG_6454|Drugs|betalactams|Class_A_betalactamases|SHV,1|38,1
723,>MEG_6375|Drugs|betalactams|Class_A_betalactamases|SHV;>MEG_6376|Drugs|betalactams|Class_A_betalactamases|SHV;>MEG_6377|Drugs|betalactams|Class_A_betalactamases|SHV;>MEG_6378|Drugs|betalactams|Class_A_betalactamases|SHV;>MEG_6394|Drugs|betalactams|Class_A_betalactamases|SHV;>MEG_6409|Drugs|betalactams|Class_A_betalactamases|SHV,1|38,1
732,>MEG_6540|Biocides|Peroxide_resistance|peroxide_resistance_protein|SODA;>MEG_6542|Biocides|Peroxide_resistance|peroxide_resistance_protein|SODA;>MEG_6543|Biocides|Peroxide_resistance|peroxide_resistance_protein|SODA,1|235,1
